-12799.00000,   24558.00000,    -30204.00000,   0.00000,        0.00000,        0.00000

708 -196 16140 -119 106 43
844 -228 16220 -90 103 21
812 -208 16328 -117 113 37
756 -208 16324 -103 92 18
756 -276 16248 -91 84 18
828 -168 16312 -88 106 52
828 -352 16080 -86 82 36
808 -284 16284 -95 102 15
848 -260 16224 -95 103 19
716 -264 16208 -91 94 12
784 -300 16340 -80 92 38
768 -220 16216 -89 94 2
804 -224 16252 -101 124 42
756 -288 16144 -95 94 34
796 -212 16348 -100 113 38
812 -284 16144 -125 127 36
820 -304 16072 -101 112 24
